[2023-11-08 18:19:00]: Path: save/1699447740/ is created
[2023-11-08 18:19:07]: Start train process.
[2023-11-08 18:29:37]: | epoch   2 |  3400/ 3494 batches | rec loss 0.4420 | dis loss 0.1766 |
[2023-11-08 18:29:42]: | end of epoch   2 | time: 208.97s |
[2023-11-08 18:29:42]: | epoch   3 |     0/ 3494 batches | rec loss 0.5140 | dis loss 0.2667 |
[2023-11-08 18:29:54]: | epoch   3 |   200/ 3494 batches | rec loss 0.5235 | dis loss 0.1991 |
[2023-11-08 18:30:06]: | epoch   3 |   400/ 3494 batches | rec loss 0.4639 | dis loss 0.3120 |
[2023-11-08 18:30:18]: | epoch   3 |   600/ 3494 batches | rec loss 0.4972 | dis loss 0.2533 |
[2023-11-08 18:30:30]: | epoch   3 |   800/ 3494 batches | rec loss 0.6160 | dis loss 0.1981 |
[2023-11-08 18:30:41]: | epoch   3 |  1000/ 3494 batches | rec loss 0.5527 | dis loss 0.2906 |
[2023-11-08 18:30:53]: | epoch   3 |  1200/ 3494 batches | rec loss 0.4519 | dis loss 0.1656 |
[2023-11-08 18:31:05]: | epoch   3 |  1400/ 3494 batches | rec loss 0.5064 | dis loss 0.1964 |
[2023-11-08 18:31:17]: | epoch   3 |  1600/ 3494 batches | rec loss 0.5251 | dis loss 0.2859 |
[2023-11-08 18:31:29]: | epoch   3 |  1800/ 3494 batches | rec loss 0.5259 | dis loss 0.2001 |
[2023-11-08 18:31:41]: | epoch   3 |  2000/ 3494 batches | rec loss 0.4510 | dis loss 0.2027 |
[2023-11-08 18:31:52]: | epoch   3 |  2200/ 3494 batches | rec loss 0.4394 | dis loss 0.2166 |
[2023-11-08 18:32:04]: | epoch   3 |  2400/ 3494 batches | rec loss 0.4495 | dis loss 0.1886 |
[2023-11-08 18:32:16]: | epoch   3 |  2600/ 3494 batches | rec loss 0.5243 | dis loss 0.2635 |
[2023-11-08 18:32:28]: | epoch   3 |  2800/ 3494 batches | rec loss 0.5649 | dis loss 0.2219 |
[2023-11-08 18:32:40]: | epoch   3 |  3000/ 3494 batches | rec loss 0.5164 | dis loss 0.2017 |
[2023-11-08 18:32:52]: | epoch   3 |  3200/ 3494 batches | rec loss 0.4714 | dis loss 0.2459 |
[2023-11-08 18:33:03]: | epoch   3 |  3400/ 3494 batches | rec loss 0.4210 | dis loss 0.1481 |
[2023-11-08 18:33:09]: | end of epoch   3 | time: 206.77s |
[2023-11-08 18:33:09]: | epoch   4 |     0/ 3494 batches | rec loss 0.4441 | dis loss 0.2384 |
[2023-11-08 18:33:21]: | epoch   4 |   200/ 3494 batches | rec loss 0.4793 | dis loss 0.1827 |
[2023-11-08 18:33:33]: | epoch   4 |   400/ 3494 batches | rec loss 0.4308 | dis loss 0.3006 |
[2023-11-08 18:33:45]: | epoch   4 |   600/ 3494 batches | rec loss 0.4595 | dis loss 0.2675 |
[2023-11-08 18:33:57]: | epoch   4 |   800/ 3494 batches | rec loss 0.5339 | dis loss 0.1948 |
[2023-11-08 18:34:09]: | epoch   4 |  1000/ 3494 batches | rec loss 0.5068 | dis loss 0.2737 |
[2023-11-08 18:34:20]: | epoch   4 |  1200/ 3494 batches | rec loss 0.3945 | dis loss 0.1586 |
[2023-11-08 18:34:32]: | epoch   4 |  1400/ 3494 batches | rec loss 0.4583 | dis loss 0.2030 |
[2023-11-08 18:34:44]: | epoch   4 |  1600/ 3494 batches | rec loss 0.4816 | dis loss 0.2936 |
[2023-11-08 18:34:56]: | epoch   4 |  1800/ 3494 batches | rec loss 0.4685 | dis loss 0.2258 |
[2023-11-08 18:35:08]: | epoch   4 |  2000/ 3494 batches | rec loss 0.4185 | dis loss 0.1574 |
[2023-11-08 18:35:19]: | epoch   4 |  2200/ 3494 batches | rec loss 0.3892 | dis loss 0.2064 |
[2023-11-08 18:35:32]: | epoch   4 |  2400/ 3494 batches | rec loss 0.4429 | dis loss 0.1617 |
[2023-11-08 18:35:44]: | epoch   4 |  2600/ 3494 batches | rec loss 0.4784 | dis loss 0.2436 |
[2023-11-08 18:35:56]: | epoch   4 |  2800/ 3494 batches | rec loss 0.5386 | dis loss 0.1971 |
[2023-11-08 18:36:08]: | epoch   4 |  3000/ 3494 batches | rec loss 0.4800 | dis loss 0.2054 |
[2023-11-08 18:36:20]: | epoch   4 |  3200/ 3494 batches | rec loss 0.4209 | dis loss 0.2459 |
[2023-11-08 18:36:31]: | epoch   4 |  3400/ 3494 batches | rec loss 0.3612 | dis loss 0.1837 |
[2023-11-08 18:36:37]: | end of epoch   4 | time: 208.02s |
[2023-11-08 18:36:37]: | epoch   5 |     0/ 3494 batches | rec loss 0.4145 | dis loss 0.2705 |
[2023-11-08 18:36:50]: | epoch   5 |   200/ 3494 batches | rec loss 0.4163 | dis loss 0.1859 |
[2023-11-08 18:37:01]: | epoch   5 |   400/ 3494 batches | rec loss 0.3774 | dis loss 0.2767 |
[2023-11-08 18:37:13]: | epoch   5 |   600/ 3494 batches | rec loss 0.4071 | dis loss 0.2398 |
[2023-11-08 18:37:25]: | epoch   5 |   800/ 3494 batches | rec loss 0.5004 | dis loss 0.1736 |
[2023-11-08 18:37:37]: | epoch   5 |  1000/ 3494 batches | rec loss 0.4685 | dis loss 0.2681 |
[2023-11-08 18:37:48]: | epoch   5 |  1200/ 3494 batches | rec loss 0.3755 | dis loss 0.1079 |
[2023-11-08 18:38:00]: | epoch   5 |  1400/ 3494 batches | rec loss 0.4231 | dis loss 0.1510 |
[2023-11-08 18:38:12]: | epoch   5 |  1600/ 3494 batches | rec loss 0.4527 | dis loss 0.2657 |
[2023-11-08 18:38:24]: | epoch   5 |  1800/ 3494 batches | rec loss 0.4586 | dis loss 0.2407 |
[2023-11-08 18:38:36]: | epoch   5 |  2000/ 3494 batches | rec loss 0.4064 | dis loss 0.1926 |
[2023-11-08 18:38:48]: | epoch   5 |  2200/ 3494 batches | rec loss 0.3998 | dis loss 0.1843 |
[2023-11-08 18:39:00]: | epoch   5 |  2400/ 3494 batches | rec loss 0.4383 | dis loss 0.1342 |
[2023-11-08 18:39:12]: | epoch   5 |  2600/ 3494 batches | rec loss 0.4381 | dis loss 0.2139 |
[2023-11-08 18:39:23]: | epoch   5 |  2800/ 3494 batches | rec loss 0.4889 | dis loss 0.1739 |
[2023-11-08 18:39:35]: | epoch   5 |  3000/ 3494 batches | rec loss 0.4413 | dis loss 0.1840 |
[2023-11-08 18:39:47]: | epoch   5 |  3200/ 3494 batches | rec loss 0.4067 | dis loss 0.2448 |
[2023-11-08 18:39:59]: | epoch   5 |  3400/ 3494 batches | rec loss 0.3117 | dis loss 0.1426 |
[2023-11-08 18:40:05]: | end of epoch   5 | time: 207.08s |
[2023-11-08 18:40:05]: | epoch   6 |     0/ 3494 batches | rec loss 0.3865 | dis loss 0.2750 |
[2023-11-08 18:40:17]: | epoch   6 |   200/ 3494 batches | rec loss 0.3964 | dis loss 0.2046 |
[2023-11-08 18:40:28]: | epoch   6 |   400/ 3494 batches | rec loss 0.3802 | dis loss 0.3070 |
[2023-11-08 18:40:40]: | epoch   6 |   600/ 3494 batches | rec loss 0.3859 | dis loss 0.2489 |
[2023-11-08 18:40:52]: | epoch   6 |   800/ 3494 batches | rec loss 0.4598 | dis loss 0.1735 |
[2023-11-08 18:41:04]: | epoch   6 |  1000/ 3494 batches | rec loss 0.4429 | dis loss 0.2447 |
[2023-11-08 18:41:16]: | epoch   6 |  1200/ 3494 batches | rec loss 0.3746 | dis loss 0.1121 |
[2023-11-08 18:41:28]: | epoch   6 |  1400/ 3494 batches | rec loss 0.3852 | dis loss 0.2033 |
[2023-11-08 18:41:40]: | epoch   6 |  1600/ 3494 batches | rec loss 0.4060 | dis loss 0.2193 |
[2023-11-08 18:41:51]: | epoch   6 |  1800/ 3494 batches | rec loss 0.4196 | dis loss 0.2104 |
[2023-11-08 18:42:05]: | epoch   6 |  2000/ 3494 batches | rec loss 0.3587 | dis loss 0.1699 |
[2023-11-08 18:42:18]: | epoch   6 |  2200/ 3494 batches | rec loss 0.3398 | dis loss 0.1870 |
[2023-11-08 18:42:31]: | epoch   6 |  2400/ 3494 batches | rec loss 0.3940 | dis loss 0.1273 |
[2023-11-08 18:42:43]: | epoch   6 |  2600/ 3494 batches | rec loss 0.4426 | dis loss 0.2161 |
[2023-11-08 18:42:55]: | epoch   6 |  2800/ 3494 batches | rec loss 0.4625 | dis loss 0.1905 |
[2023-11-08 18:43:07]: | epoch   6 |  3000/ 3494 batches | rec loss 0.4250 | dis loss 0.1638 |
[2023-11-08 18:43:19]: | epoch   6 |  3200/ 3494 batches | rec loss 0.3822 | dis loss 0.2220 |
[2023-11-08 18:43:30]: | epoch   6 |  3400/ 3494 batches | rec loss 0.2874 | dis loss 0.1452 |
[2023-11-08 18:43:36]: | end of epoch   6 | time: 211.47s |
[2023-11-08 18:43:36]: | epoch   7 |     0/ 3494 batches | rec loss 0.3830 | dis loss 0.2282 |
[2023-11-08 18:43:48]: | epoch   7 |   200/ 3494 batches | rec loss 0.3883 | dis loss 0.2348 |
[2023-11-08 18:44:00]: | epoch   7 |   400/ 3494 batches | rec loss 0.3428 | dis loss 0.2643 |
[2023-11-08 18:44:12]: | epoch   7 |   600/ 3494 batches | rec loss 0.3495 | dis loss 0.2533 |
[2023-11-08 18:44:24]: | epoch   7 |   800/ 3494 batches | rec loss 0.4328 | dis loss 0.1679 |
[2023-11-08 18:44:36]: | epoch   7 |  1000/ 3494 batches | rec loss 0.4283 | dis loss 0.2993 |
[2023-11-08 18:44:48]: | epoch   7 |  1200/ 3494 batches | rec loss 0.3267 | dis loss 0.1111 |
[2023-11-08 18:45:00]: | epoch   7 |  1400/ 3494 batches | rec loss 0.3824 | dis loss 0.1788 |
[2023-11-08 18:45:12]: | epoch   7 |  1600/ 3494 batches | rec loss 0.4023 | dis loss 0.2518 |
[2023-11-08 18:45:24]: | epoch   7 |  1800/ 3494 batches | rec loss 0.3899 | dis loss 0.2401 |
